7,7
518.4,223.4,0.0
633.60004,223.4,0.0
748.80005,223.4,0.0
864.00006,223.4,0.0
979.2001,223.4,0.0
1094.4001,223.4,0.0
1209.6001,223.4,0.0
518.4,335.09998,0.0
633.60004,335.09998,0.0
748.80005,335.09998,0.0
864.00006,335.09998,0.0
979.2001,335.09998,0.0
1094.4001,335.09998,0.0
1209.6001,335.09998,0.0
518.4,446.8,0.0
633.60004,446.8,0.0
748.80005,446.8,0.0
864.00006,446.8,0.0
979.2001,446.8,0.0
1094.4001,446.8,0.0
1209.6001,446.8,0.0
518.4,558.5,0.0
633.60004,558.5,0.0
748.80005,558.5,0.0
864.00006,558.5,0.0
979.2001,558.5,0.0
1094.4001,558.5,0.0
1209.6001,558.5,0.0
518.4,670.19995,0.0
633.60004,670.19995,0.0
748.80005,670.19995,0.0
864.00006,670.19995,0.0
979.2001,670.19995,0.0
1094.4001,670.19995,0.0
1209.6001,670.19995,0.0
518.4,781.8999,0.0
633.60004,781.8999,0.0
748.80005,781.8999,0.0
864.00006,781.8999,0.0
979.2001,781.8999,0.0
1094.4001,781.8999,0.0
1209.6001,781.8999,0.0
518.4,893.6,0.0
633.60004,893.6,0.0
748.80005,893.6,0.0
864.00006,893.6,0.0
979.2001,893.6,0.0
1094.4001,893.6,0.0
1209.6001,893.6,0.0
